id,l1,l2,useful_ratio,waste_cat,waste_root,pred_len
468,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.1,Hallucination / Fabrication,Fabricated Causal Stories,778
469,Correct,N/A,0.7,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,1612
470,Correct,N/A,0.95,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,1131
471,Correct,N/A,0.7,Over-Verbose / Padding,Over-Structured Step-by-Step for Simple Tasks,1622
472,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.4,Under-Specified Grounding / Weak Localization,Temporal Imprecision or Misalignment,1973
473,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.1,Hallucination / Fabrication,Fabricated Timeline or Events,1938
474,Correct,N/A,0.7,Partially Useful but Over-Extended Reasoning,Structured but Over-Detailed Justification,1022
475,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.1,Irrelevant / Off-Target Reasoning,Meta-Discussion Instead of Task Completion,1018
476,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.1,Hallucination / Fabrication,Fabricated Timeline or Events,2118
477,Reasoning or Hallucination Failure,Counting / Aggregation Reasoning Error,0.3,Under-Specified Grounding / Weak Localization,Temporal Imprecision or Misalignment,3753
478,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.1,Hallucination / Fabrication,Fabricated Causal Stories,2704
479,Correct,N/A,0.6,Over-Verbose / Padding,Excessive Narrative Detail,1294
480,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.4,Irrelevant / Off-Target Reasoning,Meta-Discussion Instead of Task Completion,738
481,Visual Perception Failure,Action / Event Misperception,0.3,Partially Useful but Over-Extended Reasoning,High-Level Insight with Misleading Fine Detail,2213
482,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.2,Irrelevant / Off-Target Reasoning,Generic Narrative Not Tied to the Query,484
483,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.1,Partially Useful but Over-Extended Reasoning,High-Level Insight with Misleading Fine Detail,426
484,Correct,N/A,0.4,Partially Useful but Over-Extended Reasoning,Correct Identification with Extraneous Steps,1537
485,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.1,Irrelevant / Off-Target Reasoning,Generic Narrative Not Tied to the Query,2443
486,Correct,N/A,0.4,Partially Useful but Over-Extended Reasoning,High-Level Insight with Misleading Fine Detail,3134
487,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.3,Incorrect but Confident Reasoning,Wrong Final Choice After Long Reasoning,2782
488,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.3,Partially Useful but Over-Extended Reasoning,High-Level Insight with Misleading Fine Detail,1493
489,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.3,Over-Verbose / Padding,Redundant Restatement,2136
490,Correct,N/A,0.4,Over-Verbose / Padding,Excessive Narrative Detail,1987
491,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.2,Irrelevant / Off-Target Reasoning,Generic Narrative Not Tied to the Query,2493
492,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.3,Partially Useful but Over-Extended Reasoning,High-Level Insight with Misleading Fine Detail,2325
493,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.1,Hallucination / Fabrication,Fabricated Timeline or Events,2417
494,Correct,N/A,0.5,Over-Verbose / Padding,Excessive Narrative Detail,1776
495,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.15,Over-Verbose / Padding,Redundant Restatement,32767
496,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.4,Over-Verbose / Padding,Excessive Narrative Detail,2419
497,Correct,N/A,0.7,Over-Verbose / Padding,Over-Structured Step-by-Step for Simple Tasks,1293
498,Correct,N/A,0.6,Over-Verbose / Padding,Excessive Narrative Detail,2048
499,Correct,N/A,0.4,Partially Useful but Over-Extended Reasoning,Correct Identification with Extraneous Steps,2857
500,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.2,Irrelevant / Off-Target Reasoning,Generic Narrative Not Tied to the Query,804
501,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.4,Irrelevant / Off-Target Reasoning,Meta-Discussion Instead of Task Completion,829
502,Reasoning or Hallucination Failure,Counting / Aggregation Reasoning Error,0.4,Hallucination / Fabrication,Fabricated Timeline or Events,2204
503,Correct,N/A,0.6,Over-Verbose / Padding,Unnecessary Background & Commentary,1685
504,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.3,Irrelevant / Off-Target Reasoning,Generic Narrative Not Tied to the Query,1766
505,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.1,Hallucination / Fabrication,Fabricated Timeline or Events,823
506,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.1,Irrelevant / Off-Target Reasoning,Generic Narrative Not Tied to the Query,2329
507,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.3,Incorrect but Confident Reasoning,Wrong Final Choice After Long Reasoning,3494
508,Visual Perception Failure,Action / Event Misperception,0.2,Hallucination / Fabrication,Fabricated Timeline or Events,2262
509,Correct,N/A,0.4,Over-Verbose / Padding,Excessive Narrative Detail,2168
510,Correct,N/A,0.4,Over-Verbose / Padding,Unnecessary Background & Commentary,1751
511,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.3,Irrelevant / Off-Target Reasoning,Generic Narrative Not Tied to the Query,2091
512,Visual Perception Failure,Spatial / Temporal Relation Misperception,0.05,Over-Verbose / Padding,Redundant Restatement,32767
513,Visual Perception Failure,Object Presence / State Tracking Error,0.3,Irrelevant / Off-Target Reasoning,Meta-Discussion Instead of Task Completion,652
514,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.3,Irrelevant / Off-Target Reasoning,Generic Narrative Not Tied to the Query,2348
515,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.05,Hallucination / Fabrication,Fabricated Objects or Options,32767
516,Visual Perception Failure,Action / Event Misperception,0.2,Hallucination / Fabrication,Fabricated Timeline or Events,1541
517,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.1,Incorrect but Confident Reasoning,Misinterpretation of Visual Evidence,657
518,Visual Perception Failure,Object / Attribute Misrecognition,0.2,Irrelevant / Off-Target Reasoning,Meta-Discussion Instead of Task Completion,1520
519,Visual Perception Failure,Action / Event Misperception,0.4,Partially Useful but Over-Extended Reasoning,Structured but Over-Detailed Justification,1159
520,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.2,Hallucination / Fabrication,Fabricated Timeline or Events,1673
521,Correct,N/A,0.4,Partially Useful but Over-Extended Reasoning,High-Level Insight with Misleading Fine Detail,2256
522,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.2,Irrelevant / Off-Target Reasoning,Meta-Discussion Instead of Task Completion,651
523,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.3,Irrelevant / Off-Target Reasoning,Generic Narrative Not Tied to the Query,1684
524,Correct,N/A,0.7,Over-Verbose / Padding,Excessive Narrative Detail,1790
525,Visual Perception Failure,Spatial / Temporal Relation Misperception,0.2,Partially Useful but Over-Extended Reasoning,High-Level Insight with Misleading Fine Detail,1213
526,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.4,Incorrect but Confident Reasoning,Wrong Final Choice After Long Reasoning,2974
527,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.02,Over-Verbose / Padding,Redundant Restatement,32767
528,Correct,N/A,0.05,Over-Verbose / Padding,Redundant Restatement,32767
529,Visual Perception Failure,Object Presence / State Tracking Error,0.4,Partially Useful but Over-Extended Reasoning,High-Level Insight with Misleading Fine Detail,1598
530,Correct,N/A,0.6,Over-Verbose / Padding,Excessive Narrative Detail,2185
531,Correct,N/A,0.7,Over-Verbose / Padding,Excessive Narrative Detail,1531
532,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.1,Hallucination / Fabrication,Fabricated Causal Stories,2878
533,Visual Perception Failure,Action / Event Misperception,0.3,Partially Useful but Over-Extended Reasoning,High-Level Insight with Misleading Fine Detail,2751
534,Correct,N/A,0.6,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,1230
535,Correct,N/A,0.7,Over-Verbose / Padding,Excessive Narrative Detail,1742
536,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.1,Irrelevant / Off-Target Reasoning,Irrelevant Justification of Wrong Claims,393
537,Visual Perception Failure,Action / Event Misperception,0.3,Incorrect but Confident Reasoning,Misinterpretation of Visual Evidence,1666
538,Correct,N/A,0.8,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,1237
539,Correct,N/A,0.5,Over-Verbose / Padding,Excessive Narrative Detail,1838
540,Correct,N/A,0.7,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,1113
541,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.2,Hallucination / Fabrication,Fabricated Timeline or Events,2267
542,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.1,Hallucination / Fabrication,Fabricated Timeline or Events,1403
543,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.1,Hallucination / Fabrication,Fabricated Causal Stories,1858
544,Correct,N/A,0.4,Over-Verbose / Padding,Unnecessary Background & Commentary,2181
545,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.4,Partially Useful but Over-Extended Reasoning,Structured but Over-Detailed Justification,2100
546,Correct,N/A,0.4,Over-Verbose / Padding,Excessive Narrative Detail,2489
547,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.2,Hallucination / Fabrication,Fabricated Timeline or Events,1192
548,Correct,N/A,0.7,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,1412
549,Correct,N/A,0.8,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,2273
550,Correct,N/A,0.7,Over-Verbose / Padding,Excessive Narrative Detail,2400
551,Visual Perception Failure,Action / Event Misperception,0.2,Hallucination / Fabrication,Fabricated Timeline or Events,1481
552,Visual Perception Failure,Spatial / Temporal Relation Misperception,0.3,Hallucination / Fabrication,Fabricated Timeline or Events,2439
553,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.3,Incorrect but Confident Reasoning,Over-Commitment to a Misread Question,3230
554,Correct,N/A,0.7,Partially Useful but Over-Extended Reasoning,Structured but Over-Detailed Justification,3970
555,Correct,N/A,0.9,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,2719
556,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.4,Partially Useful but Over-Extended Reasoning,Structured but Over-Detailed Justification,32767
557,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.5,Partially Useful but Over-Extended Reasoning,High-Level Insight with Misleading Fine Detail,3711
558,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.4,Partially Useful but Over-Extended Reasoning,High-Level Insight with Misleading Fine Detail,3728
559,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.1,Irrelevant / Off-Target Reasoning,Irrelevant Justification of Wrong Claims,2243
560,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.4,Incorrect but Confident Reasoning,Over-Commitment to a Misread Question,2448
561,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.2,Irrelevant / Off-Target Reasoning,Background That Misses the Key Distinction,3832
562,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.3,Irrelevant / Off-Target Reasoning,Background That Misses the Key Distinction,2213
563,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.2,Hallucination / Fabrication,Fabricated Causal Stories,2509
564,Reasoning or Hallucination Failure,Counting / Aggregation Reasoning Error,0.3,Incorrect but Confident Reasoning,Wrong Final Choice After Long Reasoning,1246
565,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.2,Hallucination / Fabrication,Fabricated Objects or Options,1747
566,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.2,Irrelevant / Off-Target Reasoning,Meta-Discussion Instead of Task Completion,3639
567,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.7,Incorrect but Confident Reasoning,Wrong Final Choice After Long Reasoning,1058
568,Correct,N/A,0.9,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,3140
569,Correct,N/A,0.9,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,1895
570,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.1,Irrelevant / Off-Target Reasoning,Background That Misses the Key Distinction,1399
571,Visual Perception Failure,Action / Event Misperception,0.2,Irrelevant / Off-Target Reasoning,Irrelevant Justification of Wrong Claims,849
572,Visual Perception Failure,Action / Event Misperception,0.2,Incorrect but Confident Reasoning,Over-Commitment to a Misread Question,1086
573,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.4,Incorrect but Confident Reasoning,Wrong Final Choice After Long Reasoning,1392
574,Correct,N/A,0.7,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,1842
575,Correct,N/A,0.8,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,2356
576,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.3,Irrelevant / Off-Target Reasoning,Generic Narrative Not Tied to the Query,2878
577,Reasoning or Hallucination Failure,Role / Intent / Relationship Misinterpretation,0.2,Incorrect but Confident Reasoning,Irrelevant Justification of Wrong Claims,1510
578,Correct,N/A,0.9,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,1374
579,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.4,Incorrect but Confident Reasoning,Wrong Final Choice After Long Reasoning,1476
580,Correct,N/A,0.9,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,1123
581,Reasoning or Hallucination Failure,Role / Intent / Relationship Misinterpretation,0.2,Irrelevant / Off-Target Reasoning,Generic Narrative Not Tied to the Query,1630
582,Correct,N/A,0.9,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,1626
583,Visual Perception Failure,Action / Event Misperception,0.4,Hallucination / Fabrication,Fabricated Causal Stories,3206
584,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.1,Hallucination / Fabrication,Fabricated Timeline or Events,1302
585,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.4,Incorrect but Confident Reasoning,Wrong Final Choice After Long Reasoning,1558
586,Correct,N/A,0.9,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,1976
587,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.3,Incorrect but Confident Reasoning,Over-Commitment to a Misread Question,2119
588,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.3,Hallucination / Fabrication,Fabricated Causal Stories,413
589,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.3,Irrelevant / Off-Target Reasoning,Background That Misses the Key Distinction,1374
590,Visual Perception Failure,Object Presence / State Tracking Error,0.2,Irrelevant / Off-Target Reasoning,Irrelevant Justification of Wrong Claims,507
591,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.1,Incorrect but Confident Reasoning,Over-Commitment to a Misread Question,1021
592,Correct,N/A,0.8,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,3294
593,Correct,N/A,0.9,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,3142
594,Correct,N/A,0.9,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,1020
595,Correct,N/A,0.9,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,2294
596,Visual Perception Failure,Spatial / Temporal Relation Misperception,0.3,Incorrect but Confident Reasoning,Misinterpretation of Visual Evidence,1070
597,Correct,N/A,0.6,Over-Verbose / Padding,Unnecessary Background & Commentary,1688
598,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.3,Under-Specified Grounding / Weak Localization,Temporal Imprecision or Misalignment,1079
599,Correct,N/A,0.1,Over-Verbose / Padding,Redundant Restatement,32767
600,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.2,Hallucination / Fabrication,Fabricated Timeline or Events,1698
601,Correct,N/A,0.4,Over-Verbose / Padding,Over-Structured Step-by-Step for Simple Tasks,1707
602,Visual Perception Failure,Spatial / Temporal Relation Misperception,0.3,Incorrect but Confident Reasoning,Misinterpretation of Visual Evidence,2064
603,Correct,N/A,0.6,Over-Verbose / Padding,Over-Structured Step-by-Step for Simple Tasks,1842
604,Correct,N/A,0.5,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,1293
605,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.1,Irrelevant / Off-Target Reasoning,Meta-Discussion Instead of Task Completion,1046
606,Visual Perception Failure,Action / Event Misperception,0.3,Hallucination / Fabrication,Fabricated Timeline or Events,1433
607,Correct,N/A,0.4,Over-Verbose / Padding,Over-Structured Step-by-Step for Simple Tasks,1349
608,Correct,N/A,0.7,Over-Verbose / Padding,Over-Structured Step-by-Step for Simple Tasks,1732
609,Correct,N/A,0.7,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,1811
610,Correct,N/A,0.6,Over-Verbose / Padding,Excessive Narrative Detail,1595
611,Reasoning or Hallucination Failure,Counting / Aggregation Reasoning Error,0.4,Incorrect but Confident Reasoning,Flawed Counting or Comparison Logic,674
612,Correct,N/A,0.8,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,1549
613,Correct,N/A,0.6,Partially Useful but Over-Extended Reasoning,Structured but Over-Detailed Justification,2290
614,Visual Perception Failure,Spatial / Temporal Relation Misperception,0.05,Irrelevant / Off-Target Reasoning,Generic Narrative Not Tied to the Query,32767
615,Correct,N/A,0.6,Over-Verbose / Padding,Excessive Narrative Detail,2482
616,Correct,N/A,0.8,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,1326
617,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.05,Hallucination / Fabrication,Fabricated Timeline or Events,32767
618,Reasoning or Hallucination Failure,Counting / Aggregation Reasoning Error,0.7,Incorrect but Confident Reasoning,Flawed Counting or Comparison Logic,1056
619,Correct,N/A,0.6,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,1441
620,Reasoning or Hallucination Failure,Counting / Aggregation Reasoning Error,0.6,Irrelevant / Off-Target Reasoning,Irrelevant Justification of Wrong Claims,3275
621,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.5,Incorrect but Confident Reasoning,Over-Commitment to a Misread Question,1811
622,Correct,N/A,1.0,None,Unspecified,603
623,Correct,N/A,0.9,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,1138
624,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.4,Incorrect but Confident Reasoning,Over-Commitment to a Misread Question,1910
625,Visual Perception Failure,Action / Event Misperception,0.4,Hallucination / Fabrication,Fabricated Timeline or Events,521
626,Reasoning or Hallucination Failure,Counting / Aggregation Reasoning Error,0.6,Incorrect but Confident Reasoning,Flawed Counting or Comparison Logic,2482
627,Correct,N/A,0.7,Hallucination / Fabrication,Fabricated Timeline or Events,1974
628,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.05,Hallucination / Fabrication,Fabricated Timeline or Events,32767
629,Reasoning or Hallucination Failure,Counting / Aggregation Reasoning Error,0.4,Incorrect but Confident Reasoning,Wrong Final Choice After Long Reasoning,2635
630,Reasoning or Hallucination Failure,Counting / Aggregation Reasoning Error,0.25,Over-Verbose / Padding,Redundant Restatement,32767
631,Correct,N/A,0.8,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,1230
632,Reasoning or Hallucination Failure,Counting / Aggregation Reasoning Error,0.4,Irrelevant / Off-Target Reasoning,Generic Narrative Not Tied to the Query,2037
633,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.4,Irrelevant / Off-Target Reasoning,Generic Narrative Not Tied to the Query,1547
634,Reasoning or Hallucination Failure,Counting / Aggregation Reasoning Error,0.15,Over-Verbose / Padding,Redundant Restatement,32767
635,Visual Perception Failure,Object / Attribute Misrecognition,0.5,Incorrect but Confident Reasoning,Misinterpretation of Visual Evidence,1103
636,Correct,N/A,0.9,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,980
637,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.2,Hallucination / Fabrication,Fabricated Timeline or Events,2023
638,Correct,N/A,0.4,Incorrect but Confident Reasoning,Flawed Counting or Comparison Logic,2200
639,Reasoning or Hallucination Failure,Counting / Aggregation Reasoning Error,0.05,Over-Verbose / Padding,Redundant Restatement,32767
640,Correct,N/A,0.8,Partially Useful but Over-Extended Reasoning,Correct Identification with Extraneous Steps,1984
641,Visual Perception Failure,Object Presence / State Tracking Error,0.4,Incorrect but Confident Reasoning,Over-Commitment to a Misread Question,1147
642,Correct,N/A,0.8,Partially Useful but Over-Extended Reasoning,Correct Identification with Extraneous Steps,976
643,Correct,N/A,0.9,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,1047
644,Correct,N/A,0.8,Over-Verbose / Padding,Excessive Narrative Detail,875
645,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.05,Hallucination / Fabrication,Fabricated Objects or Options,32767
646,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.05,Hallucination / Fabrication,Fabricated Timeline or Events,32767
647,Reasoning or Hallucination Failure,Counting / Aggregation Reasoning Error,0.6,Incorrect but Confident Reasoning,Flawed Counting or Comparison Logic,1440
648,Correct,N/A,0.25,Over-Verbose / Padding,Unnecessary Background & Commentary,1859
649,Correct,N/A,0.9,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,1206
650,Correct,N/A,0.5,Over-Verbose / Padding,Unnecessary Background & Commentary,2237
651,Visual Perception Failure,Counting / Aggregation Reasoning Error,0.4,Incorrect but Confident Reasoning,Misinterpretation of Visual Evidence,693
652,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.4,Irrelevant / Off-Target Reasoning,Background That Misses the Key Distinction,856
653,Correct,N/A,0.8,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,1302
654,Correct,N/A,0.9,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,1101
655,Correct,N/A,0.7,Partially Useful but Over-Extended Reasoning,Structured but Over-Detailed Justification,892
656,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.1,Hallucination / Fabrication,Fabricated Timeline or Events,634
657,Correct,N/A,0.7,Over-Verbose / Padding,Excessive Narrative Detail,2438
658,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.2,Incorrect but Confident Reasoning,Flawed Counting or Comparison Logic,2903
659,Correct,N/A,0.95,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,988
660,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.3,Irrelevant / Off-Target Reasoning,Generic Narrative Not Tied to the Query,1927
661,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.3,Incorrect but Confident Reasoning,Misinterpretation of Visual Evidence,1494
662,Visual Perception Failure,Action / Event Misperception,0.4,Over-Verbose / Padding,Excessive Narrative Detail,2342
663,Reasoning or Hallucination Failure,Counting / Aggregation Reasoning Error,0.15,Over-Verbose / Padding,Redundant Restatement,32767
664,Correct,N/A,0.9,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,743
665,Correct,N/A,0.7,Over-Verbose / Padding,Unnecessary Background & Commentary,1264
666,Visual Perception Failure,Action / Event Misperception,0.2,Hallucination / Fabrication,Fabricated Timeline or Events,1870
667,Correct,N/A,0.8,Over-Verbose / Padding,Excessive Narrative Detail,1365
668,Correct,N/A,0.8,Over-Verbose / Padding,Over-Structured Step-by-Step for Simple Tasks,1118
669,Correct,N/A,0.9,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,1334
670,Reasoning or Hallucination Failure,Counting / Aggregation Reasoning Error,0.4,Incorrect but Confident Reasoning,Wrong Final Choice After Long Reasoning,1111
671,Visual Perception Failure,Spatial / Temporal Relation Misperception,0.3,Hallucination / Fabrication,Fabricated Timeline or Events,2130
672,Correct,N/A,0.6,Over-Verbose / Padding,Over-Structured Step-by-Step for Simple Tasks,2956
673,Correct,N/A,0.8,Partially Useful but Over-Extended Reasoning,Structured but Over-Detailed Justification,1720
674,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.4,Irrelevant / Off-Target Reasoning,Generic Narrative Not Tied to the Query,2459
675,Visual Perception Failure,Spatial / Temporal Relation Misperception,0.1,Hallucination / Fabrication,Fabricated Timeline or Events,2537
676,Correct,N/A,0.6,Partially Useful but Over-Extended Reasoning,High-Level Insight with Misleading Fine Detail,2686
677,Correct,N/A,0.7,Over-Verbose / Padding,Excessive Narrative Detail,1272
678,Correct,N/A,0.9,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,1112
679,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.1,Irrelevant / Off-Target Reasoning,Generic Narrative Not Tied to the Query,976
680,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.4,Irrelevant / Off-Target Reasoning,Generic Narrative Not Tied to the Query,1108
681,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.2,Hallucination / Fabrication,Fabricated Timeline or Events,2037
682,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.3,Over-Verbose / Padding,Over-Structured Step-by-Step for Simple Tasks,853
683,Correct,N/A,0.9,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,941
684,Visual Perception Failure,Action / Event Misperception,0.1,Irrelevant / Off-Target Reasoning,Generic Narrative Not Tied to the Query,2821
685,Correct,N/A,0.4,Partially Useful but Over-Extended Reasoning,Correct Identification with Extraneous Steps,1773
686,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.2,Irrelevant / Off-Target Reasoning,Meta-Discussion Instead of Task Completion,2161
687,Visual Perception Failure,Action / Event Misperception,0.2,Hallucination / Fabrication,Fabricated Objects or Options,446
688,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.1,Irrelevant / Off-Target Reasoning,Meta-Discussion Instead of Task Completion,671
689,Correct,N/A,0.7,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,1539
690,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.1,Irrelevant / Off-Target Reasoning,Generic Narrative Not Tied to the Query,1143
691,Reasoning or Hallucination Failure,Counting / Aggregation Reasoning Error,0.5,Incorrect but Confident Reasoning,Wrong Final Choice After Long Reasoning,2438
692,Correct,N/A,0.4,Over-Verbose / Padding,Excessive Narrative Detail,2519
693,Correct,N/A,0.4,Partially Useful but Over-Extended Reasoning,Correct Identification with Extraneous Steps,1901
694,Correct,N/A,0.9,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,1272
695,Visual Perception Failure,Action / Event Misperception,0.2,Irrelevant / Off-Target Reasoning,Irrelevant Justification of Wrong Claims,714
