id,l1,l2,useful_ratio,waste_label
661,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.3,Hallucinated or Incorrect Reasoning
662,Visual Perception Failure,Action / Event Misperception,0.4,Overly Verbose but Largely Correct
663,Reasoning or Hallucination Failure,Counting / Aggregation Reasoning Error,0.15,Minor Redundancy and Repetition
664,Correct,N/A,0.9,Minor Redundancy and Repetition
665,Correct,N/A,0.7,Minor Redundancy and Repetition
666,Visual Perception Failure,Action / Event Misperception,0.2,Hallucinated or Incorrect Reasoning
667,Correct,N/A,0.8,Overly Verbose but Largely Correct
668,Correct,N/A,0.8,Minor Redundancy and Repetition
669,Correct,N/A,0.9,Minor Redundancy and Repetition
670,Reasoning or Hallucination Failure,Counting / Aggregation Reasoning Error,0.4,Hallucinated or Incorrect Reasoning
671,Visual Perception Failure,Spatial / Temporal Relation Misperception,0.3,Hallucinated or Incorrect Reasoning
672,Correct,N/A,0.6,Speculative Guessing and Coordinate Padding
673,Correct,N/A,0.8,Minor Redundancy and Repetition
674,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.4,Overly Verbose but Largely Correct
675,Visual Perception Failure,Spatial / Temporal Relation Misperception,0.1,Hallucinated or Incorrect Reasoning
676,Correct,N/A,0.6,Speculative Guessing and Coordinate Padding
677,Correct,N/A,0.7,Overly Verbose but Largely Correct
678,Correct,N/A,0.9,Minor Redundancy and Repetition
679,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.1,Irrelevant or Off-Task Discussion
680,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.4,Speculative Guessing and Coordinate Padding
681,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.2,Hallucinated or Incorrect Reasoning
682,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.3,Speculative Guessing and Coordinate Padding
683,Correct,N/A,0.9,Minor Redundancy and Repetition
684,Visual Perception Failure,Action / Event Misperception,0.1,Irrelevant or Off-Task Discussion
685,Correct,N/A,0.4,Overly Verbose but Largely Correct
686,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.2,Speculative Guessing and Coordinate Padding
687,Visual Perception Failure,Action / Event Misperception,0.2,Hallucinated or Incorrect Reasoning
688,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.1,"Refusal, Denial, or Non-Engagement"
689,Correct,N/A,0.7,Overly Verbose but Largely Correct
690,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.1,Irrelevant or Off-Task Discussion
691,Reasoning or Hallucination Failure,Counting / Aggregation Reasoning Error,0.5,Hallucinated or Incorrect Reasoning
692,Correct,N/A,0.4,Speculative Guessing and Coordinate Padding
693,Correct,N/A,0.4,Overly Verbose but Largely Correct
694,Correct,N/A,0.9,Minor Redundancy and Repetition
695,Visual Perception Failure,Action / Event Misperception,0.2,"Refusal, Denial, or Non-Engagement"
696,Correct,N/A,0.8,Overly Verbose but Largely Correct
697,Correct,N/A,0.6,Speculative Guessing and Coordinate Padding
698,Correct,N/A,0.7,Minor Redundancy and Repetition
699,Correct,N/A,0.05,Speculative Guessing and Coordinate Padding
700,Visual Perception Failure,Object / Attribute Misrecognition,0.3,Hallucinated or Incorrect Reasoning
701,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.3,Hallucinated or Incorrect Reasoning
702,Correct,N/A,0.8,Minor Redundancy and Repetition
703,Correct,N/A,0.5,Overly Verbose but Largely Correct
704,Correct,N/A,0.7,Overly Verbose but Largely Correct
705,Correct,N/A,0.9,Minor Redundancy and Repetition
706,Correct,N/A,0.8,Minor Redundancy and Repetition
707,Correct,N/A,0.8,Minor Redundancy and Repetition
708,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.4,Overly Verbose but Largely Correct
709,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.3,Speculative Guessing and Coordinate Padding
710,Correct,N/A,0.8,Minor Redundancy and Repetition
711,Correct,N/A,0.9,Minor Redundancy and Repetition
712,Visual Perception Failure,Action / Event Misperception,0.3,Hallucinated or Incorrect Reasoning
713,Correct,N/A,0.7,Minor Redundancy and Repetition
714,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.05,"Refusal, Denial, or Non-Engagement"
715,Visual Perception Failure,Action / Event Misperception,0.2,Hallucinated or Incorrect Reasoning
716,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.4,Hallucinated or Incorrect Reasoning
717,Reasoning or Hallucination Failure,Counting / Aggregation Reasoning Error,0.6,Hallucinated or Incorrect Reasoning
718,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.4,Irrelevant or Off-Task Discussion
719,Correct,N/A,0.6,Minor Redundancy and Repetition
720,Correct,N/A,0.3,Hallucinated or Incorrect Reasoning
721,Correct,N/A,0.9,Minor Redundancy and Repetition
722,Reasoning or Hallucination Failure,Counting / Aggregation Reasoning Error,0.3,"Refusal, Denial, or Non-Engagement"
723,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.2,Hallucinated or Incorrect Reasoning
724,Reasoning or Hallucination Failure,Counting / Aggregation Reasoning Error,0.4,Overly Verbose but Largely Correct
725,Correct,N/A,0.4,Hallucinated or Incorrect Reasoning
726,Correct,N/A,0.9,Minor Redundancy and Repetition
727,Correct,N/A,0.5,Overly Verbose but Largely Correct
728,Correct,N/A,0.7,Overly Verbose but Largely Correct
729,Visual Perception Failure,Object / Attribute Misrecognition,0.2,"Refusal, Denial, or Non-Engagement"
730,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.2,Hallucinated or Incorrect Reasoning
731,Correct,N/A,0.7,Overly Verbose but Largely Correct
732,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.2,"Refusal, Denial, or Non-Engagement"
733,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.1,Hallucinated or Incorrect Reasoning
734,Reasoning or Hallucination Failure,Counting / Aggregation Reasoning Error,0.3,Speculative Guessing and Coordinate Padding
735,Correct,N/A,0.6,Minor Redundancy and Repetition
736,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.3,Hallucinated or Incorrect Reasoning
737,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.3,Hallucinated or Incorrect Reasoning
738,Correct,N/A,0.6,Overly Verbose but Largely Correct
739,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.1,Hallucinated or Incorrect Reasoning
740,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.2,Hallucinated or Incorrect Reasoning
741,Correct,N/A,0.9,Minor Redundancy and Repetition
742,Visual Perception Failure,Action / Event Misperception,0.2,Hallucinated or Incorrect Reasoning
743,Reasoning or Hallucination Failure,Counting / Aggregation Reasoning Error,0.6,Overly Verbose but Largely Correct
744,Correct,N/A,0.6,Overly Verbose but Largely Correct
745,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.4,Hallucinated or Incorrect Reasoning
746,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.4,Hallucinated or Incorrect Reasoning
747,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.4,Hallucinated or Incorrect Reasoning
748,Visual Perception Failure,Text / Symbol / Fine-detail Misreading,0.3,Overly Verbose but Largely Correct
749,Visual Perception Failure,Text / Symbol / Fine-detail Misreading,0.1,Hallucinated or Incorrect Reasoning
750,Correct,N/A,0.9,Minor Redundancy and Repetition
751,Visual Perception Failure,Text / Symbol / Fine-detail Misreading,0.4,"Refusal, Denial, or Non-Engagement"
752,Correct,N/A,0.9,Minor Redundancy and Repetition
753,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.3,Irrelevant or Off-Task Discussion
754,Visual Perception Failure,Action / Event Misperception,0.4,Hallucinated or Incorrect Reasoning
755,Visual Perception Failure,Action / Event Misperception,0.3,Hallucinated or Incorrect Reasoning
756,Correct,N/A,0.7,Overly Verbose but Largely Correct
757,Correct,N/A,0.7,Overly Verbose but Largely Correct
758,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.2,Irrelevant or Off-Task Discussion
759,Visual Perception Failure,Action / Event Misperception,0.4,Hallucinated or Incorrect Reasoning
760,Correct,N/A,0.8,Overly Verbose but Largely Correct
761,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.6,Overly Verbose but Largely Correct
762,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.3,Hallucinated or Incorrect Reasoning
763,Visual Perception Failure,Spatial / Temporal Relation Misperception,0.2,Hallucinated or Incorrect Reasoning
764,Visual Perception Failure,Spatial / Temporal Relation Misperception,0.2,Hallucinated or Incorrect Reasoning
765,Visual Perception Failure,Object / Attribute Misrecognition,0.3,Hallucinated or Incorrect Reasoning
766,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.2,Irrelevant or Off-Task Discussion
767,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.1,Hallucinated or Incorrect Reasoning
768,Correct,N/A,0.6,Irrelevant or Off-Task Discussion
769,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.4,Hallucinated or Incorrect Reasoning
770,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.6,Hallucinated or Incorrect Reasoning
771,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.1,Irrelevant or Off-Task Discussion
772,Correct,N/A,0.9,Minor Redundancy and Repetition
773,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.2,Irrelevant or Off-Task Discussion
774,Correct,N/A,1.0,None
775,Correct,N/A,1.0,None
776,Correct,N/A,0.25,Irrelevant or Off-Task Discussion
777,Correct,N/A,0.6,Minor Redundancy and Repetition
778,Visual Perception Failure,Action / Event Misperception,0.4,Hallucinated or Incorrect Reasoning
779,Correct,N/A,0.5,Irrelevant or Off-Task Discussion
780,Visual Perception Failure,Action / Event Misperception,0.3,Hallucinated or Incorrect Reasoning
781,Correct,N/A,0.4,Minor Redundancy and Repetition
782,Correct,N/A,0.4,Overly Verbose but Largely Correct
783,Correct,N/A,0.3,Irrelevant or Off-Task Discussion
784,Correct,N/A,0.4,Overly Verbose but Largely Correct
785,Reasoning or Hallucination Failure,Counting / Aggregation Reasoning Error,0.6,Hallucinated or Incorrect Reasoning
786,Correct,N/A,0.6,Overly Verbose but Largely Correct
787,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.4,Hallucinated or Incorrect Reasoning
788,Visual Perception Failure,Action / Event Misperception,0.4,Hallucinated or Incorrect Reasoning
789,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.15,Irrelevant or Off-Task Discussion
790,Visual Perception Failure,Spatial / Temporal Relation Misperception,0.2,Hallucinated or Incorrect Reasoning
791,Visual Perception Failure,Action / Event Misperception,0.3,Hallucinated or Incorrect Reasoning
792,Correct,N/A,0.8,Minor Redundancy and Repetition
793,Correct,N/A,0.6,Overly Verbose but Largely Correct
794,Correct,N/A,0.6,Overly Verbose but Largely Correct
795,Correct,N/A,0.7,Overly Verbose but Largely Correct
796,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.3,Irrelevant or Off-Task Discussion
797,Correct,N/A,0.7,Overly Verbose but Largely Correct
798,Correct,N/A,0.6,Overly Verbose but Largely Correct
799,Visual Perception Failure,Object / Attribute Misrecognition,0.2,Hallucinated or Incorrect Reasoning
800,Visual Perception Failure,Spatial / Temporal Relation Misperception,0.3,Hallucinated or Incorrect Reasoning
801,Reasoning or Hallucination Failure,Counting / Aggregation Reasoning Error,0.6,Hallucinated or Incorrect Reasoning
802,Visual Perception Failure,Object / Attribute Misrecognition,0.3,Hallucinated or Incorrect Reasoning
803,Correct,N/A,0.7,Speculative Guessing and Coordinate Padding
804,Reasoning or Hallucination Failure,Counting / Aggregation Reasoning Error,0.4,Overly Verbose but Largely Correct
805,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.3,Irrelevant or Off-Task Discussion
806,Correct,N/A,0.7,Overly Verbose but Largely Correct
807,Correct,N/A,0.5,Overly Verbose but Largely Correct
808,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.25,Overly Verbose but Largely Correct
809,Visual Perception Failure,Spatial / Temporal Relation Misperception,0.2,Irrelevant or Off-Task Discussion
810,Visual Perception Failure,Spatial / Temporal Relation Misperception,0.2,Hallucinated or Incorrect Reasoning
811,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.2,Irrelevant or Off-Task Discussion
812,Visual Perception Failure,Object / Attribute Misrecognition,0.2,Hallucinated or Incorrect Reasoning
813,Correct,N/A,0.7,Minor Redundancy and Repetition
814,Correct,N/A,0.5,Overly Verbose but Largely Correct
815,Correct,N/A,0.5,Overly Verbose but Largely Correct
816,Visual Perception Failure,Action / Event Misperception,0.2,Hallucinated or Incorrect Reasoning
817,Visual Perception Failure,Spatial / Temporal Relation Misperception,0.2,Hallucinated or Incorrect Reasoning
818,Correct,N/A,0.6,Overly Verbose but Largely Correct
819,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.2,Irrelevant or Off-Task Discussion
820,Visual Perception Failure,Action / Event Misperception,0.2,Irrelevant or Off-Task Discussion
821,Correct,N/A,0.7,Overly Verbose but Largely Correct
822,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.1,Hallucinated or Incorrect Reasoning
823,Visual Perception Failure,Object / Attribute Misrecognition,0.4,Speculative Guessing and Coordinate Padding
824,Visual Perception Failure,Object / Attribute Misrecognition,0.3,Overly Verbose but Largely Correct
825,Visual Perception Failure,Object / Attribute Misrecognition,0.3,Overly Verbose but Largely Correct
826,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.2,Speculative Guessing and Coordinate Padding
827,Visual Perception Failure,Object / Attribute Misrecognition,0.3,Irrelevant or Off-Task Discussion
828,Visual Perception Failure,Object / Attribute Misrecognition,0.3,Speculative Guessing and Coordinate Padding
829,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.2,"Refusal, Denial, or Non-Engagement"
830,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.2,"Refusal, Denial, or Non-Engagement"
831,Visual Perception Failure,Object / Attribute Misrecognition,0.2,"Refusal, Denial, or Non-Engagement"
832,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.2,"Refusal, Denial, or Non-Engagement"
833,Visual Perception Failure,Object / Attribute Misrecognition,0.3,Speculative Guessing and Coordinate Padding
834,Visual Perception Failure,Spatial / Temporal Relation Misperception,0.2,Hallucinated or Incorrect Reasoning
835,Visual Perception Failure,Object / Attribute Misrecognition,0.1,"Refusal, Denial, or Non-Engagement"
836,Visual Perception Failure,Object / Attribute Misrecognition,0.4,Overly Verbose but Largely Correct
837,Visual Perception Failure,Object / Attribute Misrecognition,0.3,Speculative Guessing and Coordinate Padding
838,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.1,Irrelevant or Off-Task Discussion
839,Visual Perception Failure,Object / Attribute Misrecognition,0.3,Speculative Guessing and Coordinate Padding
840,Visual Perception Failure,Object / Attribute Misrecognition,0.3,Speculative Guessing and Coordinate Padding
841,Visual Perception Failure,Object / Attribute Misrecognition,0.3,Speculative Guessing and Coordinate Padding
842,Visual Perception Failure,Object / Attribute Misrecognition,0.2,Overly Verbose but Largely Correct
843,Visual Perception Failure,Object / Attribute Misrecognition,0.2,Speculative Guessing and Coordinate Padding
844,Visual Perception Failure,Object / Attribute Misrecognition,0.3,Overly Verbose but Largely Correct
845,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.3,"Refusal, Denial, or Non-Engagement"
846,Visual Perception Failure,Object / Attribute Misrecognition,0.4,Hallucinated or Incorrect Reasoning
847,Visual Perception Failure,Object / Attribute Misrecognition,0.3,Speculative Guessing and Coordinate Padding
848,Visual Perception Failure,Object / Attribute Misrecognition,0.2,Speculative Guessing and Coordinate Padding
849,Visual Perception Failure,Object / Attribute Misrecognition,0.4,Overly Verbose but Largely Correct
850,Visual Perception Failure,Object / Attribute Misrecognition,0.2,"Refusal, Denial, or Non-Engagement"
851,Visual Perception Failure,Object / Attribute Misrecognition,0.2,Speculative Guessing and Coordinate Padding
852,Visual Perception Failure,Object / Attribute Misrecognition,0.3,Speculative Guessing and Coordinate Padding
853,Visual Perception Failure,Object / Attribute Misrecognition,0.2,Speculative Guessing and Coordinate Padding
854,Visual Perception Failure,Object / Attribute Misrecognition,0.2,Speculative Guessing and Coordinate Padding
855,Visual Perception Failure,Object / Attribute Misrecognition,0.2,Speculative Guessing and Coordinate Padding
856,Visual Perception Failure,Spatial / Temporal Relation Misperception,0.3,Speculative Guessing and Coordinate Padding
857,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.2,Speculative Guessing and Coordinate Padding
858,Visual Perception Failure,Object / Attribute Misrecognition,0.3,Speculative Guessing and Coordinate Padding
859,Visual Perception Failure,Object / Attribute Misrecognition,0.3,Speculative Guessing and Coordinate Padding
860,Visual Perception Failure,Spatial / Temporal Relation Misperception,0.3,Overly Verbose but Largely Correct
861,Visual Perception Failure,Object / Attribute Misrecognition,0.3,Speculative Guessing and Coordinate Padding
862,Visual Perception Failure,Object / Attribute Misrecognition,0.3,Speculative Guessing and Coordinate Padding
863,Visual Perception Failure,Object / Attribute Misrecognition,0.2,"Refusal, Denial, or Non-Engagement"
864,Visual Perception Failure,Object / Attribute Misrecognition,0.3,Speculative Guessing and Coordinate Padding
865,Reasoning or Hallucination Failure,Role / Intent / Relationship Misinterpretation,0.2,Speculative Guessing and Coordinate Padding
866,Visual Perception Failure,Object / Attribute Misrecognition,0.3,Speculative Guessing and Coordinate Padding
867,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.2,Speculative Guessing and Coordinate Padding
868,Visual Perception Failure,Object / Attribute Misrecognition,0.3,Speculative Guessing and Coordinate Padding
869,Visual Perception Failure,Object / Attribute Misrecognition,0.2,Speculative Guessing and Coordinate Padding
870,Visual Perception Failure,Object / Attribute Misrecognition,0.4,Speculative Guessing and Coordinate Padding
871,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.1,Speculative Guessing and Coordinate Padding
872,Visual Perception Failure,Object / Attribute Misrecognition,0.2,Overly Verbose but Largely Correct
873,Visual Perception Failure,Object / Attribute Misrecognition,0.3,Overly Verbose but Largely Correct
874,Visual Perception Failure,Object / Attribute Misrecognition,0.3,Speculative Guessing and Coordinate Padding
875,Visual Perception Failure,Object / Attribute Misrecognition,0.3,Speculative Guessing and Coordinate Padding
876,Visual Perception Failure,Action / Event Misperception,0.3,Speculative Guessing and Coordinate Padding
877,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.2,"Refusal, Denial, or Non-Engagement"
878,Visual Perception Failure,Object / Attribute Misrecognition,0.3,Overly Verbose but Largely Correct
879,Visual Perception Failure,Object / Attribute Misrecognition,0.25,Speculative Guessing and Coordinate Padding
880,Visual Perception Failure,Object / Attribute Misrecognition,0.2,Speculative Guessing and Coordinate Padding
881,Visual Perception Failure,Object / Attribute Misrecognition,0.3,Speculative Guessing and Coordinate Padding
882,Visual Perception Failure,Spatial / Temporal Relation Misperception,0.3,Hallucinated or Incorrect Reasoning
883,Visual Perception Failure,Object Presence / State Tracking Error,0.2,"Refusal, Denial, or Non-Engagement"
884,Visual Perception Failure,Action / Event Misperception,0.2,Speculative Guessing and Coordinate Padding
885,Visual Perception Failure,Object / Attribute Misrecognition,0.3,Speculative Guessing and Coordinate Padding
886,Visual Perception Failure,Spatial / Temporal Relation Misperception,0.3,Speculative Guessing and Coordinate Padding
887,Visual Perception Failure,Object / Attribute Misrecognition,0.3,Speculative Guessing and Coordinate Padding
888,Visual Perception Failure,Object / Attribute Misrecognition,0.2,Speculative Guessing and Coordinate Padding
889,Visual Perception Failure,Object / Attribute Misrecognition,0.3,Speculative Guessing and Coordinate Padding
890,Visual Perception Failure,Object / Attribute Misrecognition,0.4,Speculative Guessing and Coordinate Padding
891,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.15,Speculative Guessing and Coordinate Padding
892,Visual Perception Failure,Object / Attribute Misrecognition,0.3,Speculative Guessing and Coordinate Padding
893,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.2,"Refusal, Denial, or Non-Engagement"
894,Visual Perception Failure,Object / Attribute Misrecognition,0.3,Speculative Guessing and Coordinate Padding
895,Visual Perception Failure,Spatial / Temporal Relation Misperception,0.3,Speculative Guessing and Coordinate Padding
896,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.2,Speculative Guessing and Coordinate Padding
897,Visual Perception Failure,Spatial / Temporal Relation Misperception,0.4,Speculative Guessing and Coordinate Padding
898,Visual Perception Failure,Object / Attribute Misrecognition,0.3,Speculative Guessing and Coordinate Padding
899,Visual Perception Failure,Object Presence / State Tracking Error,0.2,Hallucinated or Incorrect Reasoning
900,Visual Perception Failure,Object / Attribute Misrecognition,0.4,Overly Verbose but Largely Correct
901,Visual Perception Failure,Object / Attribute Misrecognition,0.4,Speculative Guessing and Coordinate Padding
902,Visual Perception Failure,Object / Attribute Misrecognition,0.2,Speculative Guessing and Coordinate Padding
903,Visual Perception Failure,Object / Attribute Misrecognition,0.3,Speculative Guessing and Coordinate Padding
904,Visual Perception Failure,Object Presence / State Tracking Error,0.2,Irrelevant or Off-Task Discussion
905,Visual Perception Failure,Object / Attribute Misrecognition,0.3,Irrelevant or Off-Task Discussion
906,Visual Perception Failure,Object / Attribute Misrecognition,0.3,Speculative Guessing and Coordinate Padding
907,Visual Perception Failure,Object Presence / State Tracking Error,0.2,Irrelevant or Off-Task Discussion
908,Visual Perception Failure,Object Presence / State Tracking Error,0.2,Hallucinated or Incorrect Reasoning
909,Visual Perception Failure,Object / Attribute Misrecognition,0.2,Speculative Guessing and Coordinate Padding
910,Visual Perception Failure,Object / Attribute Misrecognition,0.3,Speculative Guessing and Coordinate Padding
911,Visual Perception Failure,Object / Attribute Misrecognition,0.25,Speculative Guessing and Coordinate Padding
912,Visual Perception Failure,Object / Attribute Misrecognition,0.2,Speculative Guessing and Coordinate Padding
913,Visual Perception Failure,Object / Attribute Misrecognition,0.3,Speculative Guessing and Coordinate Padding
914,Visual Perception Failure,Object / Attribute Misrecognition,0.2,Hallucinated or Incorrect Reasoning
915,Visual Perception Failure,Object / Attribute Misrecognition,0.3,Speculative Guessing and Coordinate Padding
916,Visual Perception Failure,Object / Attribute Misrecognition,0.2,Speculative Guessing and Coordinate Padding
917,Visual Perception Failure,Object / Attribute Misrecognition,0.3,Speculative Guessing and Coordinate Padding
918,Visual Perception Failure,Object / Attribute Misrecognition,0.3,Speculative Guessing and Coordinate Padding
919,Visual Perception Failure,Object / Attribute Misrecognition,0.3,Speculative Guessing and Coordinate Padding
920,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.2,"Refusal, Denial, or Non-Engagement"
921,Visual Perception Failure,Object / Attribute Misrecognition,0.2,Speculative Guessing and Coordinate Padding
922,Visual Perception Failure,Object / Attribute Misrecognition,0.2,Speculative Guessing and Coordinate Padding
923,Visual Perception Failure,Object / Attribute Misrecognition,0.3,Speculative Guessing and Coordinate Padding
924,Visual Perception Failure,Object Presence / State Tracking Error,0.3,Minor Redundancy and Repetition
925,Visual Perception Failure,Object / Attribute Misrecognition,0.3,Speculative Guessing and Coordinate Padding
926,Visual Perception Failure,Object / Attribute Misrecognition,0.4,Overly Verbose but Largely Correct
927,Visual Perception Failure,Object / Attribute Misrecognition,0.4,Minor Redundancy and Repetition
928,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.2,Irrelevant or Off-Task Discussion
929,Visual Perception Failure,Object / Attribute Misrecognition,0.3,Minor Redundancy and Repetition
930,Visual Perception Failure,Object / Attribute Misrecognition,0.4,Overly Verbose but Largely Correct
931,Visual Perception Failure,Object / Attribute Misrecognition,0.3,Irrelevant or Off-Task Discussion
932,Visual Perception Failure,Object / Attribute Misrecognition,0.2,Speculative Guessing and Coordinate Padding
933,Visual Perception Failure,Object / Attribute Misrecognition,0.4,Overly Verbose but Largely Correct
934,Visual Perception Failure,Object / Attribute Misrecognition,0.25,Speculative Guessing and Coordinate Padding
935,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.1,Irrelevant or Off-Task Discussion
936,Visual Perception Failure,Object / Attribute Misrecognition,0.2,Speculative Guessing and Coordinate Padding
937,Visual Perception Failure,Object / Attribute Misrecognition,0.3,Speculative Guessing and Coordinate Padding
938,Visual Perception Failure,Spatial / Temporal Relation Misperception,0.3,Irrelevant or Off-Task Discussion
939,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.2,Speculative Guessing and Coordinate Padding
940,Visual Perception Failure,Object / Attribute Misrecognition,0.3,Minor Redundancy and Repetition
941,Visual Perception Failure,Object / Attribute Misrecognition,0.3,Minor Redundancy and Repetition
942,Visual Perception Failure,Spatial / Temporal Relation Misperception,0.4,Overly Verbose but Largely Correct
943,Visual Perception Failure,Object / Attribute Misrecognition,0.2,Speculative Guessing and Coordinate Padding
944,Visual Perception Failure,Object / Attribute Misrecognition,0.4,Overly Verbose but Largely Correct
945,Visual Perception Failure,Object / Attribute Misrecognition,0.3,Speculative Guessing and Coordinate Padding
946,Visual Perception Failure,Object / Attribute Misrecognition,0.3,Hallucinated or Incorrect Reasoning
947,Visual Perception Failure,Spatial / Temporal Relation Misperception,0.4,Overly Verbose but Largely Correct
948,Visual Perception Failure,Object / Attribute Misrecognition,0.1,"Refusal, Denial, or Non-Engagement"
949,Visual Perception Failure,Object / Attribute Misrecognition,0.3,Speculative Guessing and Coordinate Padding
950,Visual Perception Failure,Object / Attribute Misrecognition,0.2,Speculative Guessing and Coordinate Padding
951,Visual Perception Failure,Object / Attribute Misrecognition,0.4,Overly Verbose but Largely Correct
952,Visual Perception Failure,Object / Attribute Misrecognition,0.2,Speculative Guessing and Coordinate Padding
953,Visual Perception Failure,Object / Attribute Misrecognition,0.3,Speculative Guessing and Coordinate Padding
954,Visual Perception Failure,Object / Attribute Misrecognition,0.2,Speculative Guessing and Coordinate Padding
955,Visual Perception Failure,Spatial / Temporal Relation Misperception,0.3,Speculative Guessing and Coordinate Padding
956,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.3,"Refusal, Denial, or Non-Engagement"
957,Visual Perception Failure,Object / Attribute Misrecognition,0.3,Speculative Guessing and Coordinate Padding
958,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.1,"Refusal, Denial, or Non-Engagement"
959,Visual Perception Failure,Object / Attribute Misrecognition,0.3,Irrelevant or Off-Task Discussion
960,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.1,Irrelevant or Off-Task Discussion
961,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.2,"Refusal, Denial, or Non-Engagement"
962,Visual Perception Failure,Object / Attribute Misrecognition,0.2,Irrelevant or Off-Task Discussion
963,Visual Perception Failure,Object / Attribute Misrecognition,0.2,Speculative Guessing and Coordinate Padding
964,Visual Perception Failure,Action / Event Misperception,0.3,Hallucinated or Incorrect Reasoning
965,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.3,Hallucinated or Incorrect Reasoning
966,Correct,N/A,0.6,Minor Redundancy and Repetition
967,Visual Perception Failure,Action / Event Misperception,0.2,"Refusal, Denial, or Non-Engagement"
968,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.2,Overly Verbose but Largely Correct
